Season,Team,Round.Number,Season.Points,Score.For,Score.Against,Percentage,Ladder.Position
1999,St Kilda,6,12,570,581,0.9810671256454389,8
1999,Port Adelaide,6,12,559,587,0.9522998296422487,9
1999,Melbourne,6,12,524,557,0.940754039497307,10
1999,Carlton,6,12,532,602,0.8837209302325582,11
1999,Footscray,6,8,622,650,0.9569230769230769,12
1999,Richmond,6,8,590,652,0.9049079754601227,13
1999,Sydney,6,8,496,672,0.7380952380952381,14
1999,Collingwood,6,0,522,688,0.7587209302325582,15
1999,Fremantle,6,0,497,657,0.756468797564688,16
1999,West Coast,7,24,659,457,1.4420131291028446,1
1999,Brisbane Lions,7,20,717,488,1.4692622950819672,2
1999,Essendon,7,20,757,654,1.157492354740061,3
1999,Geelong,7,20,820,715,1.1468531468531469,4
1999,North Melbourne,7,16,781,728,1.0728021978021978,5
1999,St Kilda,7,16,638,629,1.0143084260731319,6
1999,Adelaide,7,16,643,645,0.9968992248062015,7
1999,Melbourne,7,16,658,670,0.982089552238806,8
1999,Carlton,7,16,650,700,0.9285714285714286,9
1999,Footscray,7,12,742,725,1.0234482758620689,10
1999,Hawthorn,7,12,597,605,0.9867768595041322,11
1999,Port Adelaide,7,12,634,707,0.8967468175388967,12
1999,Sydney,7,12,627,775,0.8090322580645162,13
1999,Richmond,7,8,688,770,0.8935064935064935,14
1999,Fremantle,7,4,613,756,0.8108465608465608,15
1999,Collingwood,7,0,584,784,0.7448979591836735,16
1999,West Coast,8,28,785,529,1.4839319470699432,1
1999,Brisbane Lions,8,20,836,623,1.3418940609951846,2
1999,North Melbourne,8,20,882,777,1.135135135135135,3
1999,Essendon,8,20,808,748,1.0802139037433156,4
1999,St Kilda,8,20,732,680,1.076470588235294,5
1999,Geelong,8,20,920,856,1.074766355140187,6
1999,Footscray,8,16,859,778,1.1041131105398458,7
1999,Port Adelaide,8,16,759,793,0.957124842370744,8
1999,Adelaide,8,16,715,771,0.9273670557717251,9
1999,Melbourne,8,16,711,787,0.9034307496823379,10
1999,Carlton,8,16,736,825,0.8921212121212121,11
1999,Sydney,8,16,768,875,0.8777142857142857,12
1999,Richmond,8,12,823,889,0.9257592800899888,13
1999,Hawthorn,8,12,646,706,0.9150141643059491,14
1999,Collingwood,8,4,683,843,0.8102016607354685,15
1999,Fremantle,8,4,672,855,0.7859649122807018,16
1999,West Coast,9,32,879,610,1.4409836065573771,1
1999,Brisbane Lions,9,24,980,710,1.380281690140845,2
1999,North Melbourne,9,24,998,863,1.156431054461182,3
1999,St Kilda,9,24,851,737,1.1546811397557666,4
1999,Essendon,9,24,915,795,1.150943396226415,5
1999,Footscray,9,20,985,866,1.1374133949191685,6
1999,Geelong,9,20,1007,1000,1.007,7
1999,Carlton,9,20,833,889,0.937007874015748,8
1999,Richmond,9,16,901,956,0.9424686192468619,9
1999,Adelaide,9,16,782,849,0.9210836277974087,10
1999,Port Adelaide,9,16,816,912,0.8947368421052632,11
1999,Melbourne,9,16,775,884,0.8766968325791855,12
1999,Sydney,9,16,849,969,0.8761609907120743,13
1999,Hawthorn,9,12,693,813,0.8523985239852399,14
1999,Collingwood,9,4,771,969,0.7956656346749226,15
1999,Fremantle,9,4,758,971,0.780638516992791,16
1999,West Coast,10,32,963,711,1.3544303797468353,1
1999,Essendon,10,28,1024,856,1.1962616822429906,2
1999,St Kilda,10,28,969,845,1.1467455621301774,3
1999,North Melbourne,10,28,1131,989,1.1435793731041457,4
1999,Brisbane Lions,10,24,1024,776,1.3195876288659794,5
1999,Footscray,10,24,1051,910,1.1549450549450548,6
1999,Carlton,10,24,934,973,0.959917780061665,7
1999,Geelong,10,20,1115,1118,0.9973166368515206,8
1999,Sydney,10,20,994,1063,0.9350893697083725,9
1999,Richmond,10,16,982,1043,0.9415148609779482,10
1999,Port Adelaide,10,16,942,1045,0.9014354066985646,11
1999,Adelaide,10,16,843,958,0.8799582463465553,12
1999,Hawthorn,10,16,780,894,0.87248322147651,13
1999,Melbourne,10,16,865,1028,0.8414396887159533,14
1999,Fremantle,10,8,902,1061,0.8501413760603205,15
1999,Collingwood,10,4,865,1114,0.7764811490125674,16
1999,West Coast,11,32,1027,795,1.2918238993710691,1
1999,Essendon,11,32,1161,960,1.209375,2
1999,North Melbourne,11,32,1215,1053,1.1538461538461537,3
1999,Brisbane Lions,11,28,1118,854,1.3091334894613582,4
1999,St Kilda,11,28,1042,947,1.1003167898627244,5
1999,Footscray,11,26,1127,986,1.143002028397566,6
1999,Sydney,11,24,1096,1136,0.9647887323943662,7
1999,Carlton,11,24,1012,1067,0.9484536082474226,8
1999,Geelong,11,20,1219,1255,0.9713147410358566,9
1999,Port Adelaide,11,20,974,1075,0.906046511627907,10
1999,Melbourne,11,20,954,1106,0.8625678119349005,11
1999,Hawthorn,11,18,856,970,0.8824742268041237,12
1999,Richmond,11,16,1012,1075,0.9413953488372093,13
1999,Adelaide,11,16,926,1080,0.8574074074074074,14
1999,Fremantle,11,12,1024,1144,0.8951048951048951,15
1999,Collingwood,11,4,943,1203,0.7838736492103076,16
1999,West Coast,12,36,1164,867,1.342560553633218,1
1999,Essendon,12,36,1250,1031,1.2124151309408342,2
1999,North Melbourne,12,36,1308,1145,1.1423580786026202,3
1999,Footscray,12,30,1242,1065,1.1661971830985915,4
1999,Brisbane Lions,12,28,1189,943,1.2608695652173914,5
1999,St Kilda,12,28,1138,1056,1.0776515151515151,6
1999,Sydney,12,28,1184,1197,0.9891395154553049,7
1999,Carlton,12,24,1073,1155,0.929004329004329,8
1999,Hawthorn,12,22,965,1066,0.9052532833020638,9
1999,Richmond,12,20,1113,1141,0.9754601226993865,10
1999,Geelong,12,20,1285,1356,0.9476401179941003,11
1999,Adelaide,12,20,1025,1174,0.873083475298126,12
1999,Melbourne,12,20,1046,1199,0.872393661384487,13
1999,Port Adelaide,12,20,1046,1212,0.863036303630363,14
1999,Fremantle,12,12,1103,1259,0.8760921366163622,15
1999,Collingwood,12,4,1037,1302,0.7964669738863287,16
1999,West Coast,13,40,1276,935,1.3647058823529412,1
1999,Essendon,13,40,1330,1107,1.2014453477868112,2
1999,North Melbourne,13,40,1397,1198,1.166110183639399,3
1999,Brisbane Lions,13,32,1322,1041,1.2699327569644572,4
1999,Footscray,13,30,1318,1145,1.1510917030567687,5
1999,St Kilda,13,28,1220,1159,1.0526315789473684,6
1999,Sydney,13,28,1282,1330,0.9639097744360903,7
1999,Richmond,13,24,1240,1267,0.978689818468824,8
1999,Carlton,13,24,1126,1244,0.905144694533762,9
1999,Melbourne,13,24,1155,1290,0.8953488372093024,10
1999,Port Adelaide,13,24,1111,1257,0.8838504375497216,11
1999,Hawthorn,13,22,1010,1131,0.8930150309460654,12
1999,Geelong,13,20,1353,1468,0.9216621253405994,13
1999,Adelaide,13,20,1116,1283,0.8698363211223694,14
1999,Fremantle,13,12,1229,1386,0.8867243867243867,15
1999,Collingwood,13,8,1140,1384,0.8236994219653179,16
1999,West Coast,14,44,1388,1012,1.3715415019762847,1
1999,Essendon,14,44,1438,1179,1.2196776929601356,2
1999,North Melbourne,14,44,1499,1298,1.154853620955316,3
1999,Footscray,14,34,1441,1246,1.1565008025682182,4
1999,Brisbane Lions,14,32,1422,1143,1.2440944881889764,5
1999,St Kilda,14,32,1316,1214,1.0840197693574958,6
1999,Sydney,14,28,1383,1453,0.9518238128011012,7
1999,Carlton,14,28,1215,1299,0.9353348729792148,8
1999,Port Adelaide,14,28,1199,1344,0.8921130952380952,9
1999,Richmond,14,24,1295,1363,0.9501100513573001,10
1999,Adelaide,14,24,1275,1379,0.9245830311820159,11
1999,Melbourne,14,24,1232,1402,0.8787446504992867,12
1999,Hawthorn,14,22,1065,1220,0.8729508196721312,13
1999,Geelong,14,20,1449,1627,0.8905961893054702,14
1999,Fremantle,14,12,1301,1494,0.8708165997322623,15
1999,Collingwood,14,8,1227,1472,0.8335597826086957,16
1999,West Coast,15,44,1463,1116,1.310931899641577,1
1999,Essendon,15,44,1500,1278,1.1737089201877935,2
1999,North Melbourne,15,44,1607,1448,1.1098066298342542,3
1999,Footscray,15,38,1591,1354,1.175036927621861,4
1999,Brisbane Lions,15,36,1514,1204,1.2574750830564785,5
1999,St Kilda,15,32,1400,1321,1.0598031794095382,6
1999,Sydney,15,32,1508,1527,0.9875573018991487,7
1999,Carlton,15,32,1351,1387,0.9740447007930786,8
1999,Port Adelaide,15,32,1298,1406,0.9231863442389758,9
1999,Richmond,15,28,1399,1438,0.9728789986091794,10
1999,Geelong,15,24,1577,1752,0.9001141552511416,11
1999,Adelaide,15,24,1363,1515,0.8996699669966997,12
1999,Melbourne,15,24,1306,1527,0.8552717747216765,13
1999,Hawthorn,15,22,1126,1312,0.8582317073170732,14
1999,Fremantle,15,16,1408,1578,0.8922686945500634,15
1999,Collingwood,15,8,1352,1600,0.845,16
1999,Essendon,16,48,1646,1348,1.2210682492581602,1
1999,North Melbourne,16,48,1750,1536,1.1393229166666667,2
1999,West Coast,16,44,1535,1235,1.242914979757085,3
1999,Footscray,16,42,1690,1451,1.1647139903514818,4
1999,Brisbane Lions,16,40,1621,1272,1.27437106918239,5
1999,Port Adelaide,16,36,1370,1470,0.9319727891156463,6
1999,St Kilda,16,32,1468,1428,1.0280112044817926,7
1999,Richmond,16,32,1506,1520,0.9907894736842106,8
1999,Sydney,16,32,1572,1599,0.9831144465290806,9
1999,Carlton,16,32,1421,1533,0.9269406392694064,10
1999,Adelaide,16,24,1460,1614,0.9045848822800495,11
1999,Geelong,16,24,1665,1895,0.8786279683377308,12
1999,Melbourne,16,24,1388,1634,0.8494492044063647,13
1999,Hawthorn,16,22,1218,1436,0.8481894150417827,14
1999,Fremantle,16,20,1527,1650,0.9254545454545454,15
1999,Collingwood,16,12,1476,1692,0.8723404255319149,16
1999,Essendon,17,52,1804,1480,1.218918918918919,1
1999,North Melbourne,17,48,1882,1694,1.1109799291617473,2
1999,Footscray,17,46,1788,1542,1.1595330739299612,3
1999,Brisbane Lions,17,44,1787,1338,1.335575485799701,4
1999,West Coast,17,44,1601,1401,1.1427551748750893,5
1999,Port Adelaide,17,40,1466,1559,0.9403463758819757,6
1999,St Kilda,17,36,1566,1507,1.0391506303915063,7
1999,Sydney,17,36,1668,1654,1.0084643288996373,8
1999,Carlton,17,36,1574,1629,0.9662369551872314,9
1999,Richmond,17,32,1561,1616,0.9659653465346535,10
1999,Adelaide,17,28,1585,1690,0.9378698224852071,11
1999,Geelong,17,24,1756,1993,0.8810837932764677,12
1999,Melbourne,17,24,1467,1732,0.8469976905311778,13
1999,Hawthorn,17,22,1294,1561,0.8289557975656631,14
1999,Fremantle,17,20,1616,1746,0.9255441008018328,15
1999,Collingwood,17,12,1572,1845,0.8520325203252033,16
1999,Essendon,18,56,1897,1559,1.2168056446440025,1
1999,North Melbourne,18,52,1983,1773,1.1184433164128595,2
1999,Brisbane Lions,18,48,1905,1404,1.356837606837607,3
1999,West Coast,18,48,1709,1473,1.1602172437202987,4
1999,Footscray,18,46,1882,1641,1.1468616697135894,5
1999,Carlton,18,40,1673,1723,0.9709808473592572,6
1999,Port Adelaide,18,40,1532,1677,0.913536076326774,7
1999,St Kilda,18,36,1632,1606,1.016189290161893,8
1999,Sydney,18,36,1747,1747,1,9
1999,Adelaide,18,32,1684,1756,0.958997722095672,10
1999,Richmond,18,32,1640,1717,0.9551543389633081,11
1999,Geelong,18,28,1857,2073,0.8958031837916064,12
1999,Hawthorn,18,26,1396,1638,0.8522588522588522,13
1999,Melbourne,18,24,1547,1833,0.8439716312056738,14
1999,Fremantle,18,20,1693,1848,0.9161255411255411,15
1999,Collingwood,18,12,1644,1953,0.8417818740399385,16
1999,Essendon,19,60,2050,1652,1.2409200968523002,1
1999,North Melbourne,19,56,2094,1874,1.1173959445037354,2
1999,Brisbane Lions,19,52,1988,1448,1.37292817679558,3
1999,Footscray,19,50,1997,1732,1.1530023094688222,4
1999,West Coast,19,48,1802,1626,1.1082410824108242,5
1999,Carlton,19,44,1799,1780,1.0106741573033708,6
1999,Port Adelaide,19,40,1618,1795,0.9013927576601671,7
1999,St Kilda,19,36,1723,1721,1.00116211504939,8
1999,Sydney,19,36,1848,1858,0.9946178686759957,9
1999,Richmond,19,32,1719,1829,0.9398578458173865,10
1999,Adelaide,19,32,1728,1839,0.9396411092985318,11
1999,Geelong,19,32,1975,2159,0.9147753589624826,12
1999,Hawthorn,19,30,1518,1692,0.8971631205673759,13
1999,Melbourne,19,24,1601,1955,0.818925831202046,14
1999,Fremantle,19,20,1750,1974,0.8865248226950354,15
1999,Collingwood,19,16,1756,2032,0.8641732283464567,16
1999,Essendon,20,64,2137,1717,1.244612696563774,1
1999,North Melbourne,20,60,2208,1963,1.1248089658685685,2
1999,Brisbane Lions,20,56,2169,1515,1.4316831683168316,3
1999,Footscray,20,54,2112,1811,1.1662065157371617,4
1999,West Coast,20,48,1884,1710,1.1017543859649124,5
1999,Carlton,20,44,1903,1893,1.005282620179609,6
1999,Port Adelaide,20,44,1681,1841,0.913090711569799,7
1999,Sydney,20,40,2007,1899,1.0568720379146919,8
1999,St Kilda,20,36,1812,1835,0.987465940054496,9
1999,Geelong,20,36,2088,2263,0.9226690234202386,10
1999,Hawthorn,20,34,1602,1774,0.90304396843292,11
1999,Richmond,20,32,1798,1944,0.9248971193415638,12
1999,Adelaide,20,32,1769,1998,0.8853853853853854,13
1999,Melbourne,20,24,1647,2018,0.8161546085232904,14
1999,Fremantle,20,20,1817,2155,0.8431554524361949,15
1999,Collingwood,20,16,1821,2119,0.8593676262387919,16
1999,Essendon,21,68,2284,1806,1.264673311184939,1
1999,North Melbourne,21,64,2321,2063,1.1250605913717886,2
1999,Brisbane Lions,21,60,2328,1619,1.4379246448424954,3
1999,Footscray,21,58,2218,1915,1.15822454308094,4
1999,West Coast,21,48,1988,1816,1.0947136563876652,5
1999,Carlton,21,48,2009,1938,1.0366357069143446,6
1999,Port Adelaide,21,48,1773,1909,0.92875851231011,7
1999,Sydney,21,44,2116,1975,1.071392405063291,8
1999,Hawthorn,21,38,1705,1875,0.9093333333333333,9
1999,St Kilda,21,36,1857,1941,0.9567233384853169,10
1999,Geelong,21,36,2189,2366,0.9251901944209636,11
1999,Richmond,21,32,1887,2091,0.9024390243902439,12
1999,Adelaide,21,32,1837,2090,0.8789473684210526,13
1999,Melbourne,21,24,1751,2177,0.8043178686265503,14
1999,Fremantle,21,20,1893,2264,0.8361307420494699,15
1999,Collingwood,21,16,1921,2232,0.860663082437276,16
1999,Essendon,22,72,2400,1905,1.2598425196850394,1
1999,North Melbourne,22,68,2463,2129,1.1568811648661343,2
1999,Brisbane Lions,22,64,2422,1671,1.4494314781567923,3
1999,Footscray,22,62,2363,1993,1.185649774209734,4
1999,West Coast,22,48,2068,1937,1.0676303562209601,5
1999,Carlton,22,48,2088,2028,1.029585798816568,6
1999,Port Adelaide,22,48,1851,2054,0.9011684518013632,7
1999,Sydney,22,44,2184,2128,1.0263157894736843,8
1999,Hawthorn,22,42,1858,1943,0.9562532166752444,9
1999,St Kilda,22,40,1978,2021,0.9787234042553191,10
1999,Geelong,22,40,2328,2454,0.9486552567237164,11
1999,Richmond,22,36,1977,2170,0.9110599078341014,12
1999,Adelaide,22,32,1903,2232,0.8525985663082437,13
1999,Melbourne,22,24,1850,2293,0.8068033144352377,14
1999,Fremantle,22,20,1981,2403,0.8243861839367458,15
1999,Collingwood,22,16,1973,2326,0.8482373172828891,16
2000,Essendon,1,4,156,62,2.5161290322580645,1
2000,Collingwood,1,4,140,86,1.627906976744186,2
2000,West Coast,1,4,154,111,1.3873873873873874,3
2000,Carlton,1,4,152,112,1.3571428571428572,4
2000,Sydney,1,4,134,100,1.34,5
2000,Footscray,1,4,131,108,1.212962962962963,6
2000,Geelong,1,4,129,107,1.205607476635514,7
2000,Richmond,1,4,94,92,1.0217391304347827,8
2000,Melbourne,1,0,92,94,0.9787234042553191,9
2000,Fremantle,1,0,107,129,0.8294573643410853,10
2000,Adelaide,1,0,108,131,0.8244274809160306,11
2000,St Kilda,1,0,100,134,0.746268656716418,12
2000,Brisbane Lions,1,0,112,152,0.7368421052631579,13
2000,North Melbourne,1,0,111,154,0.7207792207792207,14
2000,Hawthorn,1,0,86,140,0.6142857142857143,15
2000,Port Adelaide,1,0,62,156,0.3974358974358974,16
2000,Essendon,2,8,286,149,1.919463087248322,1
2000,Carlton,2,8,306,224,1.3660714285714286,2
2000,Collingwood,2,8,243,178,1.3651685393258426,3
2000,Geelong,2,8,268,206,1.3009708737864079,4
2000,Sydney,2,8,216,170,1.2705882352941176,5
2000,West Coast,2,4,224,193,1.160621761658031,6
2000,Melbourne,2,4,237,214,1.1074766355140186,7
2000,Fremantle,2,4,232,216,1.0740740740740742,8
2000,Footscray,2,4,241,247,0.9757085020242915,9
2000,Brisbane Lions,2,4,251,262,0.9580152671755725,10
2000,Richmond,2,4,181,222,0.8153153153153153,11
2000,Adelaide,2,0,200,234,0.8547008547008547,12
2000,North Melbourne,2,0,231,299,0.7725752508361204,13
2000,St Kilda,2,0,199,273,0.7289377289377289,14
2000,Hawthorn,2,0,198,294,0.673469387755102,15
2000,Port Adelaide,2,0,149,281,0.5302491103202847,16
2000,Essendon,3,12,410,237,1.729957805907173,1
2000,Collingwood,3,12,403,265,1.5207547169811322,2
2000,Geelong,3,12,379,306,1.238562091503268,3
2000,Sydney,3,12,342,284,1.204225352112676,4
2000,Footscray,3,8,382,341,1.1202346041055717,5
2000,Carlton,3,8,393,384,1.0234375,6
2000,West Coast,3,6,340,309,1.1003236245954693,7
2000,Melbourne,3,4,351,340,1.0323529411764707,8
2000,Brisbane Lions,3,4,354,372,0.9516129032258065,9
2000,Fremantle,3,4,320,340,0.9411764705882353,10
2000,North Melbourne,3,4,401,433,0.9260969976905312,11
2000,Richmond,3,4,315,392,0.8035714285714286,12
2000,Hawthorn,3,4,308,397,0.7758186397984886,13
2000,St Kilda,3,2,315,389,0.8097686375321337,14
2000,Adelaide,3,0,300,345,0.8695652173913043,15
2000,Port Adelaide,3,0,243,422,0.5758293838862559,16
2000,Essendon,4,16,547,327,1.672782874617737,1
2000,Collingwood,4,16,509,366,1.3907103825136613,2
2000,Footscray,4,12,480,400,1.2,3
2000,Geelong,4,12,478,410,1.1658536585365853,4
2000,Sydney,4,12,443,390,1.1358974358974359,5
2000,West Coast,4,10,527,382,1.3795811518324608,6
2000,Melbourne,4,8,516,415,1.2433734939759036,7
2000,Fremantle,4,8,408,427,0.955503512880562,8
2000,North Melbourne,4,8,505,532,0.9492481203007519,9
2000,Carlton,4,8,452,482,0.9377593360995851,10
2000,Brisbane Lions,4,4,460,521,0.8829174664107485,11
2000,Richmond,4,4,402,480,0.8375,12
2000,Hawthorn,4,4,398,534,0.7453183520599251,13
2000,Port Adelaide,4,4,392,528,0.7424242424242424,14
2000,St Kilda,4,2,390,554,0.703971119133574,15
2000,Adelaide,4,0,373,532,0.7011278195488722,16
2000,Essendon,5,20,670,426,1.5727699530516432,1
2000,Collingwood,5,20,627,476,1.3172268907563025,2
2000,Geelong,5,16,640,491,1.3034623217922607,3
2000,Melbourne,5,12,622,490,1.2693877551020407,4
2000,Footscray,5,12,590,518,1.138996138996139,5
2000,Sydney,5,12,563,518,1.0868725868725868,6
2000,North Melbourne,5,12,633,652,0.9708588957055214,7
2000,West Coast,5,10,608,544,1.1176470588235294,8
2000,Brisbane Lions,5,8,582,613,0.9494290375203915,9
2000,Carlton,5,8,551,605,0.9107438016528926,10
2000,Richmond,5,8,512,564,0.9078014184397163,11
2000,Fremantle,5,8,483,533,0.9061913696060038,12
2000,Hawthorn,5,8,511,608,0.8404605263157895,13
2000,Port Adelaide,5,4,466,641,0.7269890795631825,14
2000,St Kilda,5,2,474,664,0.713855421686747,15
2000,Adelaide,5,0,465,654,0.7110091743119266,16
2000,Essendon,6,24,814,507,1.6055226824457594,1
2000,Geelong,6,20,749,575,1.3026086956521739,2
2000,Collingwood,6,20,709,590,1.2016949152542373,3
2000,North Melbourne,6,16,747,734,1.0177111716621254,4
2000,West Coast,6,14,786,605,1.2991735537190083,5
2000,Melbourne,6,12,706,599,1.1786310517529215,6
2000,Sydney,6,12,669,630,1.061904761904762,7
2000,Carlton,6,12,720,683,1.054172767203514,8
2000,Footscray,6,12,671,662,1.013595166163142,9
2000,Brisbane Lions,6,12,687,679,1.011782032400589,10
2000,Richmond,6,12,624,670,0.9313432835820895,11
2000,Fremantle,6,8,544,711,0.7651195499296765,12
2000,Hawthorn,6,8,568,751,0.7563249001331558,13
2000,Adelaide,6,4,608,711,0.8551336146272855,14
2000,Port Adelaide,6,4,544,810,0.671604938271605,15
2000,St Kilda,6,2,540,769,0.7022106631989596,16
2000,Essendon,7,28,954,607,1.57166392092257,1
2000,Geelong,7,24,857,674,1.271513353115727,2
2000,Collingwood,7,20,809,730,1.1082191780821917,3
2000,North Melbourne,7,20,876,851,1.0293772032902468,4
2000,Melbourne,7,16,844,676,1.2485207100591715,5
2000,Carlton,7,16,840,752,1.1170212765957446,6
2000,West Coast,7,14,863,743,1.161507402422611,7
2000,Sydney,7,12,768,738,1.0406504065040652,8
2000,Brisbane Lions,7,12,787,790,0.9962025316455696,9
2000,Footscray,7,12,763,785,0.9719745222929936,10
2000,Richmond,7,12,693,790,0.8772151898734177,11
2000,Hawthorn,7,12,691,843,0.8196915776986952,12
2000,Fremantle,7,12,655,811,0.8076448828606658,13
2000,Adelaide,7,8,706,802,0.8802992518703242,14
2000,Port Adelaide,7,4,635,908,0.6993392070484582,15
2000,St Kilda,7,2,657,898,0.7316258351893096,16
2000,Essendon,8,32,1081,670,1.6134328358208956,1
2000,Geelong,8,24,934,821,1.1376370280146164,2
2000,Melbourne,8,20,955,762,1.253280839895013,3
2000,Carlton,8,20,949,816,1.1629901960784315,4
2000,Collingwood,8,20,894,837,1.0681003584229392,5
2000,North Melbourne,8,20,943,979,0.9632277834525026,6
2000,West Coast,8,18,971,845,1.149112426035503,7
2000,Richmond,8,16,840,867,0.9688581314878892,8
2000,Hawthorn,8,16,819,910,0.9,9
2000,Fremantle,8,16,762,896,0.8504464285714286,10
2000,Sydney,8,12,832,847,0.9822904368358913,11
2000,Footscray,8,12,865,893,0.9686450167973124,12
2000,Adelaide,8,12,814,870,0.9356321839080459,13
2000,Brisbane Lions,8,12,850,917,0.9269356597600873,14
2000,Port Adelaide,8,4,721,1019,0.7075564278704612,15
2000,St Kilda,8,2,725,1006,0.7206759443339961,16
2000,Essendon,9,36,1187,763,1.5557011795543905,1
2000,Carlton,9,24,1096,898,1.2204899777282852,2
2000,Geelong,9,24,1007,919,1.0957562568008705,3
2000,North Melbourne,9,24,1071,1104,0.970108695652174,4
2000,Melbourne,9,20,1048,868,1.207373271889401,5
2000,Collingwood,9,20,1011,983,1.0284842319430316,6
2000,Richmond,9,20,919,937,0.9807897545357525,7
2000,Hawthorn,9,20,917,983,0.9328585961342828,8
